Player,Name,Team,ByeWeek,Ave,ECR,ADP
Le'Veon,Bell,PIT,11,28,2,3
Eddie,Lacy,GB,7,27,4,4
Adrian,Peterson,MIN,5,27,1,1
Jamaal,Charles,KC,9,27,3,2
Marshawn,Lynch,SEA,9,26,5,5
C.J.,Anderson,DEN,7,25,6,8
Matt,Forte,CHI,7,25,8,6
DeMarco,Murray,PHI,8,24,9,7
LeSean,McCoy,BUF,8,23,10,10
Jeremy,Hill,CIN,7,21,7,9
Mark,Ingram,NO,11,16,14,12
Alfred,Morris,WAS,8,15,15,15
Lamar,Miller,MIA,5,15,12,13
Carlos,Hyde,SF,10,13,19,17
Justin,Forsett,BAL,9,13,11,11
Melvin,Gordon,SD,10,11,16,16
Jonathan,Stewart,CAR,5,11,18,19
Frank,Gore,IND,10,10,13,14
Todd,Gurley,STL,6,9,25,22
Joique,Bell,DET,9,8,31,26
Latavius,Murray,OAK,6,7,17,18
Andre,Ellington,ARI,9,6,21,20
Joseph,Randle,DAL,6,6,20,21
Giovani,Bernard,CIN,7,6,29,28
T.J.,Yeldon,JAC,8,6,22,23
C.J.,Spiller,NO,11,5,26,31
Rashad,Jennings,NYG,11,5,30,24
LeGarrette,Blount,NE,4,4,24,29
Christopher,Ivory,NYJ,5,4,27,30
Ryan,Mathews,PHI,8,4,37,37
Isaiah,Crowell,CLE,11,4,33,34
Shane,Vereen,NYG,11,3,35,39
Andre,Williams,NYG,11,2,50,50
Lorenzo,Taliaferro,BAL,9,2,65,59
David,Johnson,ARI,9,2,47,54
Montee,Ball,DEN,7,2,64,56
Theo,Riddick,DET,9,2,78,68
Terrance,West,CLE,11,2,53,57
Reggie,Bush,SF,10,2,44,43
Jerick,McKinnon,MIN,5,2,69,67
Denard,Robinson,JAC,8,2,66,65
DeAngelo,Williams,PIT,11,2,59,44
Tre,Mason,STL,6,2,39,35
Tevin,Coleman,ATL,10,2,32,33
Ameer,Abdullah,DET,9,2,23,25
Doug,Martin,TB,6,2,28,32
Arian,Foster,HOU,9,2,34,27
Devonta,Freeman,ATL,10,2,36,40
Alfred,Blue,HOU,9,2,43,36
Duke,Johnson,CLE,11,2,40,49
Bishop,Sankey,TEN,4,2,38,41
Danny,Woodhead,SD,10,2,42,47
Charles,Sims,TB,6,1,45,46
James,White,NE,4,1,67,85
Darren,Sproles,PHI,8,1,49,45
Jay,Ajayi,MIA,5,1,60,60
Daniel,Herron,IND,10,1,72,66
Knile,Davis,KC,9,1,51,55
Fred,Jackson,BUF,8,1,52,53
David,Cobb,TEN,4,1,41,42
Darren,McFadden,DAL,6,1,46,38
Jonas,Gray,NE,4,1,54,48
Ka'Deem,Carey,CHI,7,0,93,99
Lance,Dunbar,DAL,6,0,62,80
Josh,Robinson,IND,10,0,88,
Ahmad,Bradshaw,IND,10,0,92,51
Chris,Johnson,ARI,9,0,63,79
Pierre,Thomas,NO,11,0,95,
Jacquizz,Rodgers,CHI,7,0,100,83
Matt,Asiata,MIN,5,0,104,77
Antone,Smith,ATL,10,0,75,62
Bernard,Pierce,JAC,8,0,97,
Anthony,Dixon,BUF,8,0,107,
Benny,Cunningham,STL,6,0,83,100
Toby,Gerhart,JAC,8,0,91,101
Jonathan,Grimes,HOU,9,0,85,
Brandon,Bolden,NE,4,0,73,93
Bobby,Rainey,TB,6,0,109,58
Jordan,Todman,CAR,5,0,129,
Bilal,Powell,NYJ,5,0,77,
Kendall,Hunter,SF,10,0,108,94
Jeremy,Langford,CHI,7,0,94,92
Branden,Oliver,SD,10,0,76,69
Donald,Brown,SD,10,0,117,
Christine,Michael,SEA,9,0,87,87
Matt,Jones,WAS,8,0,57,72
Cameron,Artis-Payne,CAR,5,0,70,63
Khiry,Robinson,NO,11,0,56,71
Roy,Helu,OAK,6,0,48,64
Stevan,Ridley,NYJ,5,0,68,52
Javorius,Allen,BAL,9,0,58,82
Damien,Williams,MIA,5,0,74,88
Travaris,Cadet,NE,4,0,102,90
Mike,Davis,SF,10,0,90,
Ronnie,Hillman,DEN,7,0,61,61
Chris,Polk,HOU,9,0,55,70
Trent,Richardson,OAK,6,0,71,81
Robert,Turbin,SEA,9,0,89,75
James,Starks,GB,7,0,79,74
Zac,Stacy,NYJ,5,0,84,97
